Teknologi,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Ya,Redhat certification,Ya,senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology,Teaching,""Creativity Skills, Team work, Programming"",68.4,Ya,Full Stack Developer Training,Ya,Java Full Stack Developer,Masters in Business Analytics,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software engineer ,""AI, ML, Python"",74.1,Tidak,Tidak,Tidak,Student (Unemployed),Tidak,Sarjana Teknik Sipil,Teknik Sipil";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Technology;Supply Chain Analysis;Data analytics;Data scientist;Web development;Service;"Infrastructure,""Accounting Skills";Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Medical knowledge;Java;Cloud Computing;Proeficiency in Software like STAAD PRO, ETABS;"Good communication skills"",65.61,Ya,Type writting English  skills,Ya,Not Applicable,M PHARMACY,Sarjana Desain,Desain";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Construction;Construction Manegement;"Urban Planning,""Proeficiency in Software like STAAD PRO, ETABS"",79.8,Ya,STAAD-Pro,Ya,Civil & Structural Engineer,Tidak,Sarjana Farmasi,Farmasi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Pemrograman,62.0,Tidak,I doing job ,Ya,Tele-caller,Masters in Computer Science,Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Designing;Web development,Javascript,95.0,Ya,Tidak,Ya,Associate Consultant,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Communication Skills,78.85,Tidak,Tidak,Ya,Chemist in pharmaceutical,pharmaceutical,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Teaching, Technology,""Gathering Informing, Leadership, Market Study, Team work"",83.6,Tidak,Tidak,Ya,Design Engineer,Masters in Automotive Technologies,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Teaching, Technology,""Accounting Skills, Communication Skills, Editing, Excel, Presentation Skills, Writing, Reading, Subject Knowledge"",70.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Mathematics,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Entrepreneurship,""Programming, Logical Skills, Observation Skills"",84.55,Tidak,Tidak,Tidak,Back End Developer,Tidak,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Technology, Entrepreneurship, Understand Human Behaviour,""Accounting Skills, Active Listening, Gathering Informing, Java, SQL, Programming, Communication Skills, Work under Pressure, News Gathering, Editing, Product Knowledge, Excel, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Building Rapport"",78.565,Ya,MS HTML-CSS Foundation Certificate,Ya,Java Developer,Masters in Science,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics;Data scientist;Social media marketing,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Python;SQL;Java;AWS,80.75,Ya,SQL,Ya,Software Engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology, Understand Human Behaviour,""ML, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Team work, Excel"",74.1,Ya,""Course on R, Python, React,React Native,javaScript,typeScript"",Ya,Computer Software Engineer,Masters in Data Science,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Web Designing;Content Writing;Data analytics;Govt. Job;Game industry;Digital marketing;Home interior design;Retailer;Data scientist;Web development;Market reserach;Social media marketing;Social causes;All fields related to Data science.;Navy Defence related;Customer care;Urban Planning,Active Listening;Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Presentation Skills;R;Python;Medical knowledge;Hospitality;Client management;Good communication skills,74.86,Ya,Data science course,Tidak,Not Applicable,Masters in environmental science,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;
"Research, Sales/Marketing, Social Justice, Teaching, Technology, Entrepreneurship, Understand Human Behaviour,""Programming, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Mass Communication, Writing, Reading, Designing Skills, Sales"",83.315,Tidak,Tidak,Ya,Business developer,Masters in Business Administration,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research,Designing Skills,72.2,Ya,Tidak,Tidak,Student (Unemployed),Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Govt. Job;Data scientist,Active Listening;Editing;R;Python,80.085,Ya,Data science,Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data scientist;"Machine Learning,Python,81.7,Ya,""Python, Machine learning"",Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobile App Development,C++;Python;SQL;Java;Architecture;PHP,79.8,Ya,Algorithmic Toolbox ,Ya,Mobile Application Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Teaching;Technology;Govt. Job,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;People management;Negotiation skills;C++,98.0,Ya,Cyber security and ethical hacking,Ya,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Research, Technology,""Accounting Skills, Business Knowledge, People Management, Work under Pressure, Cost Accounting, Reading"",69.0,Tidak,Tidak,Ya,Chartered Accountant,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics;Data scientist;SAP Consultant in MM;Cloud computing,Problem Solving skills;C++;Linux;Python,65.265,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Seni,Kesenian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Tidak,85.5,Tidak,Tidak,Ya,Software Developer,Tidak,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Social Justice;Technology;Web Designing;Digital marketing;Web development;Market reserach;Social media marketing;Information Technology;Machine Learning;Agriculture, services,Programming Language skills";Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Leadership;Designing skills;Machine Learning skills;Sales;Social Media Marketing;Artificial Intelligence;Good communication skills;Us & Canada Recruitment (IT);AWS;"PHP,55.0,Ya,""PHP, HTML, Digital marketing"",Ya,Web Developer and Digital Marketer,MBA in IT,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Understand human behaviour;Data scientist;Web development,Programming Language skills;Writing skills;Python,71.25,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Content Writing,Editing,59.0,Tidak,Tidak,Ya,Sub-editor ,Master of journalism ,Master of journalism ,EcoNAmics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teaching, Entrepreneurship,""Sales, Subject Knowledge"",60.0,Ya,Computer applications,Tidak,Medical Practitioner,Masters in Pharmacy,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teaching, Entrepreneurship,""Reading, Sales"",57.0,Ya,Basic computer,Tidak,Teacher,Masters in Pharmacy,D ed,Vedio editing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Govt. Job,Active Listening;Communication skills;Java;Good communication skills;Teaching,80.75,Tidak,Tidak,Tidak,Not Applicable,Msc maths,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Machine Learning,All fields related to Data science,Python; C++; problem solving ;KIVY; competitive programming; data structures ;backend web development ;spring boot;" spring framework,87.59,Ya,""Learning Spring with Spring Boot";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"React JS "",Ya,Software Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trading,Kepemimpinan,69.0,Tidak,Tidak,Ya,Tele-caller,Masters in Banking & Financial Institutions,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Govt. Job,Analytical Skills;Communication skills;Product knowledge;Risk management skills;Good communication skills,45.0,Tidak,Tidak,Ya,Customer service ,Master of Computer Science ,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice,People Management,69.35,Ya,Bh,Ya,Business Analyst,Masters in Pharmacy,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Sales/Marketing;Trading,Business Knowledge;Finance related skills;Communication skills;Leadership;Interpersonal skills,78.185,Ya,ISTQB ,Ya,Business Analyst,PGDM in Business Management,BBA,EcoNAmics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Technology;Trading;Data analytics;All fields related to Data science.;Information Technology;Blockchain ,Analytical Skills;Communication skills;Leadership;Problem Solving skills;C++;Linux;SQL;Good communication skills,73.72,Tidak,Tidak,Tidak,Not Applicable,Tidak,BE,Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Web Designing;Data analytics;Govt. Job,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;C++;Presentation Skills;R;Linux;Python;SQL;Java;MATLAB,76.0,Ya,Python with Data Science,Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Construction Manegement ,""Proeficiency in Software like STAAD PRO, ETABS"",71.25,Ya,Construction Management,Ya,Civil & Structural Engineer,Masters in Construction Management ,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics;Data scientist;Web development,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL,74.1,Ya,Tableau,Ya,Data Analyst ,Tidak,Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage;Understand human behaviour;Content Writing;Digital marketing,Active Listening;Critical Thinking;Gathering Information;People management;Communication skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Content creation,78.0,Tidak,Tidak,Ya,Catalog Associate,Masters in Mass Communication & Journalism,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Understand Human Behaviour, Understand Human Body,""People Management, Communication Skills, Writing, Observation Skills, Reporting"",76.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Medicine,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""AI, ML, Python"",57.475,Ya,Web And software Engineer ,Tidak,Student (Unemployed),Data science and AI,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Accounting Skills;Business Knowledge;Finance related skills;People management,59.0,Tidak,Handicraft ,Tidak,Not Applicable,Accounting ,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data scientist;Information Technology,Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Artificial Intelligence;SQL,88.73,Ya,Oracle,Ya,Business Analyst,Tidak,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mengajar,Teaching ,62.0,Ya,Dled,Tidak,Not Applicable,Master in political science ,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mengajar,Java,58.615,Tidak,Tidak,Ya,Software Engineer,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Tidak,78.85,Tidak,Tidak,Ya,Software developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Entrepreneurship,""Critical Thinking, Gathering Informing, Leadership, Team work, Risk Managing"",74.1,Tidak,Tidak,Ya,Managing director ,Tidak,B.E,Cse";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Design,Hardware skills;Analytical Skills;Communication skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills,60.0,Tidak,Tidak,Ya,Mechanical design Engineer,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Teaching, Geography and Geology ,""Analytic Thinking, SQL, Oracle, Programming, Communication Skills, Interpersonal Skills"",70.775,Tidak,Tidak,Ya,Computer Software Engineer,Tidak,B.Tech,N.A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Construction,Active Listening;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills,68.0,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research,""Accounting Skills, Cost Accounting"",58.0,Tidak,Talyy,Ya,Data Analyst,Masters in Mathematics,B.Tech,Building material and construction";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Java, SQL, Programming, Team work"",75.81,Tidak,Tidak,Ya,Computer Software Engineer,Masters in Computer Science,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Understand human behaviour,Kepemimpinan,70.0,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology,Entrepreneurship,""Creativity Skills,Leadership,Market Study, Teamwork, Programming"",78.85,Ya,""Java Training,Power BI"",Ya,Java Developer,Masters in Business Analytics,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""ML, Python, Analytic Thinking, SQL, Excel, Problem Solving skills, Tableau, Risk Managing"",69.065,Ya,Data science course completion,Tidak,Data Analyst,Masters in Data Analytics,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industires,mechanical maintenance,80.75,Ya,Reliability Engineering,Ya,Maintenance Engineer-Mechanical,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
News Coverage;Technology;Understand human behaviour;Understand human body;Data analytics;Home interior design,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Social Media Marketing;Interpersonal skills;Presentation Skills;Linux;Artificial Intelligence;SQL;Medical knowledge;Cloud Computing;"HR,86.0,Ya,""Advanced Java Program, Emergency Department in Medical Coding and Diploma in Basic Software"",Ya,Video labeling(Artificial intelligence) and Medical Coding,Tidak,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Data analytics;Data scientist;All fields related to Data science.,Active Listening;Gathering Information;Problem Solving skills;MATLAB;Good communication skills;Teaching,81.0,Ya,C and C++,Tidak,Not Applicable,MAsters in control and instrumentation engineering ,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Research, Take risk for Profits, Technology, Trading,""Accounting Skills, Python, Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Editing, Product Knowledge, Cost Accounting, Creativity Skills, Market Study, Team work, Derivatives, Logical Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills, Building Rapport"",68.4,Tidak,Tidak,Ya,Admin,Masters in Mathematics,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing,""Team work, Reporting"",65.55,Ya,Certificate in information technology ,Ya,Marketing Manager,Masters in Business Administration,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing,""Leadership, C.I.T"",65.55,Ya,Certificate in information technology ,Ya,Marketing Manager,Masters in Business Administration,MBA,Finance and HRÃŠ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing,""Communication Skills, Leadership, Team work, Reporting"",65.55,Ya,Certificate in information technology ,Ya,Marketing Manager,Masters in Business Administration,Sarjana Administrasi Bisnis,Administrasi Bisnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics;Game industry,Active Listening;Gathering Information;Artistic/Creative Skills;Editing;Problem Solving skills;SQL,60.0,Ya,SQL,Ya,Programmer,Tidak,B.Tech,Sales & Marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Python, Artistic skills, SQL, Communication Skills, Editing, Excel, C++"",60.0,Ya,Sql,Ya,Programmer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Data analytics;Social media marketing,Critical Thinking;Business Knowledge;Analytical Skills;SQL,56.335,Tidak,Tidak,Ya,Senior Analyst,M.Sc Data Science and Spatial Analytics,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Good communication skills,75.0,Ya,Advanced Java,Ya,Quality Assurance ,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing, Teaching, Entrepreneurship,""Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Observation Skills, Sales"",84.55,Ya,Tech programs,Ya,Business development associate,Masters in Business Administration,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistical Programmer ,Programming Language skills;R;Python;Programming Language C;SAS ,65.0,Ya,data science ,Ya,Statistical programmer,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Accounting Skills;Analytical Skills;Finance related skills;People management;Negotiation skills,66.0,Tidak,Tidak,Ya,Analyst ,Tidak,B.Tech,electronic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""Accounting Skills, Analytic Thinking, Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Cost Accounting, Team work, Excel, Interpersonal Skills, Problem Solving skills"",68.59,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Business Administration,B.Com,ECR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""AI, ML, Python, Analytic Thinking, Gathering Informing, SQL, Team work, Excel, Tableau"",66.5,Ya,Data science professional course,Tidak,Data Analyst,Masters in Computer Science,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Understand human behaviour;Understand human body;Data scientist,Active Listening;Business Knowledge;Lotus Notes,60.0,Ya,Notes,Ya,Lotus Notes Admin,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
